Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 926 [0.9033203125->0.904296875]	659:661	846:901	858:966	858:967	858:968
Bucket 927 [0.904296875->0.9052734375]	747:774	838:966	838:967	838:970	858:969
Bucket 928 [0.9052734375->0.90625]	857:894	858:894	860:894	861:894	862:894
Bucket 929 [0.90625->0.9072265625]	857:893	859:895	860:893	861:893	862:893
Bucket 930 [0.9072265625->0.908203125]	657:661	660:661	857:895	858:893	860:895
Bucket 931 [0.908203125->0.9091796875]	655:662	742:774	867:895	870:895	877:1043
Bucket 932 [0.9091796875->0.91015625]	842:981	858:895	861:895	865:894	866:894
Bucket 933 [0.91015625->0.9111328125]	650:662	748:774	771:774	838:893	838:894
Bucket 934 [0.9111328125->0.912109375]	838:965	865:893	866:893	869:893	876:1043
Bucket 935 [0.912109375->0.9130859375]	846:899	846:907	846:908	846:911	846:914
Bucket 936 [0.9130859375->0.9140625]	846:903	846:904	846:905	846:909	846:910
Bucket 937 [0.9140625->0.9150390625]	838:969	2252:2610	2375:2682	2418:2732	2440:2732
Bucket 938 [0.9150390625->0.916015625]	846:902	846:906	949:1040	1260:1558	1262:1558
Bucket 939 [0.916015625->0.9169921875]	838:968	1259:1558	1296:1585	2418:2662	2440:2662
Bucket 940 [0.9169921875->0.91796875]	648:662	842:901	849:1021	952:1040	1275:1558
Bucket 941 [0.91796875->0.9189453125]	846:851	849:901	857:1040	860:1040	862:1040
Bucket 942 [0.9189453125->0.919921875]	840:846	867:1040	1078:1079	1273:1558	1321:1585
Bucket 943 [0.919921875->0.9208984375]	649:662	928:1043	932:1043	1350:1558	2589:2827
Bucket 944 [0.9208984375->0.921875]	841:846	1230:1546	1265:1346	1276:1558	1735:1742
Bucket 945 [0.921875->0.9228515625]	859:1040	863:1040	865:1040	866:1040	869:1040
Bucket 946 [0.9228515625->0.923828125]	662:663	846:917	846:921	846:923	846:924
Bucket 947 [0.923828125->0.9248046875]	235:240	842:1021	846:922	1269:1347	1390:1558
Bucket 948 [0.9248046875->0.92578125]	235:239	842:848	1247:1299	1265:1336	1269:1346
Bucket 949 [0.92578125->0.9267578125]	897:977	901:1021	1243:1558	1270:1558	1911:2038
Bucket 950 [0.9267578125->0.927734375]	849:899	849:907	849:908	849:911	849:914
Bucket 951 [0.927734375->0.9287109375]	849:903	849:904	849:905	849:909	849:910
Bucket 952 [0.9287109375->0.9296875]	846:853	846:854	849:902	849:906	918:981
Bucket 953 [0.9296875->0.9306640625]	844:846	845:846	846:850	1105:1111	1255:1346
Bucket 954 [0.9306640625->0.931640625]	848:849	899:981	907:981	908:981	911:981
Bucket 955 [0.931640625->0.9326171875]	843:846	843:981	902:981	903:981	904:981
Bucket 956 [0.9326171875->0.93359375]	846:847	849:851	897:956	897:960	913:947
Bucket 957 [0.93359375->0.9345703125]	648:655	840:849	842:907	897:913	897:958
Bucket 958 [0.9345703125->0.935546875]	842:899	842:908	842:911	842:914	842:915
Bucket 959 [0.935546875->0.9365234375]	842:903	842:904	842:905	842:909	842:910
Bucket 960 [0.9365234375->0.9375]	648:650	649:655	839:927	842:902	851:981
Bucket 961 [0.9375->0.9384765625]	839:930	842:843	842:906	882:913	884:929
Bucket 962 [0.9384765625->0.939453125]	840:981	849:917	849:921	849:922	849:923
Bucket 963 [0.939453125->0.9404296875]	649:650	655:663	842:846	843:849	864:929
Bucket 964 [0.9404296875->0.94140625]	864:897	874:913	879:913	880:913	883:913
Bucket 965 [0.94140625->0.9423828125]	840:842	842:851	851:901	872:929	874:929
Bucket 966 [0.9423828125->0.943359375]	650:663	835:839	841:849	847:981	871:942
Bucket 967 [0.943359375->0.9443359375]	840:901	857:959	857:961	860:959	860:961
Bucket 968 [0.9443359375->0.9453125]	656:707	841:981	849:853	849:854	858:942
Bucket 969 [0.9453125->0.9462890625]	842:925	844:849	845:849	849:850	857:934
Bucket 970 [0.9462890625->0.947265625]	656:712	841:901	842:917	842:921	842:922
Bucket 971 [0.947265625->0.9482421875]	843:1021	847:849	858:949	859:931	859:936
Bucket 972 [0.9482421875->0.94921875]	842:847	857:871	857:889	859:959	859:961
Bucket 973 [0.94921875->0.9501953125]	636:707	857:861	857:868	857:870	857:873
Bucket 974 [0.9501953125->0.951171875]	646:656	846:848	857:858	858:860	858:862
Bucket 975 [0.951171875->0.9521484375]	636:712	857:931	857:936	858:867	860:931
Bucket 976 [0.9521484375->0.953125]	675:707	842:853	842:854	845:981	851:1021
Bucket 977 [0.953125->0.9541015625]	636:675	721:730	721:731	721:734	721:737
Bucket 978 [0.9541015625->0.955078125]	675:712	718:721	721:722	721:726	721:728
Bucket 979 [0.955078125->0.9560546875]	636:646	715:721	719:721	721:724	721:736
Bucket 980 [0.9560546875->0.95703125]	714:721	717:721	721:723	843:902	843:903
Bucket 981 [0.95703125->0.9580078125]	656:675	721:727	721:733	864:928	864:932
Bucket 982 [0.9580078125->0.958984375]	570:668	573:668	646:675	648:649	648:663
Bucket 983 [0.958984375->0.9599609375]	409:524	531:537	721:732	841:1021	864:947
Bucket 984 [0.9599609375->0.9609375]	676:743	677:743	677:772	847:901	863:946
Bucket 985 [0.9609375->0.9619140625]	676:772	677:711	718:731	722:729	722:730
Bucket 986 [0.9619140625->0.962890625]	676:711	718:722	722:726	726:731	728:731
Bucket 987 [0.962890625->0.9638671875]	649:663	715:734	715:737	715:738	718:719
Bucket 988 [0.9638671875->0.96484375]	714:718	714:729	714:730	714:734	714:737
Bucket 989 [0.96484375->0.9658203125]	129:137	714:726	714:728	715:728	715:736
Bucket 990 [0.9658203125->0.966796875]	646:707	714:736	717:728	717:736	718:720
Bucket 991 [0.966796875->0.9677734375]	718:732	720:728	720:736	727:728	727:736
Bucket 992 [0.9677734375->0.96875]	596:665	656:673	677:776	711:776	715:722
Bucket 993 [0.96875->0.9697265625]	646:712	656:671	676:776	714:722	714:731
Bucket 994 [0.9697265625->0.970703125]	715:719	715:724	715:725	719:725	724:725
Bucket 995 [0.970703125->0.9716796875]	714:719	714:724	714:725	715:723	715:733
Bucket 996 [0.9716796875->0.97265625]	409:457	524:567	636:673	671:707	673:707
Bucket 997 [0.97265625->0.9736328125]	440:524	445:524	446:524	450:524	454:524
Bucket 998 [0.9736328125->0.974609375]	129:136	409:477	441:524	443:524	444:524
Bucket 999 [0.974609375->0.9755859375]	409:449	453:524	671:712	714:717	714:732
Bucket 1000 [0.9755859375->0.9765625]	385:406	409:439	409:451	409:456	409:463
Bucket 1001 [0.9765625->0.9775390625]	671:675	677:748	742:776	747:776	783:792
Bucket 1002 [0.9775390625->0.978515625]	457:524	646:673	650:655	676:748	677:771
Bucket 1003 [0.978515625->0.9794921875]	386:391	409:475	409:483	646:671	657:660
Bucket 1004 [0.9794921875->0.98046875]	477:524	676:747	743:772	783:801	783:802
Bucket 1005 [0.98046875->0.9814453125]	387:400	449:524	471:524	727:731	784:801
Bucket 1006 [0.9814453125->0.982421875]	136:137	387:398	387:401	388:400	388:401
Bucket 1007 [0.982421875->0.9833984375]	123:124	295:301	386:390	388:398	389:398
Bucket 1008 [0.9833984375->0.984375]	570:573	718:728	718:736	719:727	724:727
Bucket 1009 [0.984375->0.9853515625]	390:391	409:440	409:443	409:445	409:446
Bucket 1010 [0.9853515625->0.986328125]	440:457	443:457	445:457	446:457	447:457
Bucket 1011 [0.986328125->0.9873046875]	441:457	444:457	448:457	452:457	457:458
Bucket 1012 [0.9873046875->0.98828125]	297:301	439:567	440:477	445:477	446:477
Bucket 1013 [0.98828125->0.9892578125]	295:297	440:449	441:477	443:477	444:477
Bucket 1014 [0.9892578125->0.990234375]	149:152	439:440	439:443	439:444	439:445
Bucket 1015 [0.990234375->0.9912109375]	439:441	439:448	439:460	439:472	439:478
Bucket 1016 [0.9912109375->0.9921875]	248:249	249:250	439:453	448:451	451:472
Bucket 1017 [0.9921875->0.9931640625]	393:395	393:396	440:475	445:475	446:475
Bucket 1018 [0.9931640625->0.994140625]	440:483	441:475	441:483	443:475	443:483
Bucket 1019 [0.994140625->0.9951171875]	359:361	361:362	439:457	441:567	444:567
Bucket 1020 [0.9951171875->0.99609375]	92:93	316:317	440:478	444:459	444:469
Bucket 1021 [0.99609375->0.9970703125]	395:396	439:471	440:441	440:444	440:447
Bucket 1022 [0.9970703125->0.998046875]	352:357	439:477	440:453	441:448	441:452
Bucket 1023 [0.998046875->0.9990234375]	90:91	239:240	248:250	398:400	439:449
Bucket 1024 [0.9990234375->1.0]	359:362	387:388	387:389	388:389	398:401
Bucket 1024 [1.]	630:632	921:923	934:935	1165:1166	1209:1210
