# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
335    71   16384  0.25     1  0.00442     0.000152   0.0000840 NA         NA      NA        
336    71   16384  0.3      2  0.000391    0.000259   0.000142  NA         NA      NA        
337    71   16384  0.95    15  0.00483     0.00482    0.00483   NA         NA      NA        
338    71   32768  0    40417 99.6        90.8       87.3       NA         NA      NA        
339    71   32768  0    40418 NA          NA         NA         93.5       NA      86.3      
340    71   32768  0.05  7598  0.927       0.140      0.132      0.954     NA       0.993    
341    71   32768  0.1   1973  0.301       0.0506     0.0421     0.427     NA       0.336    
342    71   32768  0.15  1132  0.192       0.0373     0.0353     0.256     NA       0.290    
343    71   32768  0.2    112  0.0241      0.00647    0.00677   NA         NA      NA        
344    71   32768  0.2    111 NA          NA         NA          0.0221    NA       0.0228   
345    71   32768  0.25     1  0.00178     0.000300   0.000301   0.00230   NA       0.000701 
346    71   32768  0.3      2  0.0000314   0.000131   0.0000357  0.00148   NA       0.00198  
347    71   32768  0.95    15  0.00482     0.00483    0.00483    0.00483   NA       0.00483  
348    71   65536  0    40417 94.9        89.6       88.0       NA         NA      NA        
349    71   65536  0    40416 NA          NA         NA         92.6       NA      85.7      
350    71   65536  0.05  7598  0.486       0.0689     0.0755     0.484     NA       0.479    
351    71   65536  0.1   1973  0.131       0.0281     0.0265     0.270     NA       0.157    
352    71   65536  0.15  1133  0.107       0.0208     0.0191     0.119     NA       0.125    
353    71   65536  0.2    111  0.00996     0.00431    0.00608   NA         NA      NA        
354    71   65536  0.2    112 NA          NA         NA          0.0128    NA       0.0106   
355    71   65536  0.25     1  0.000451    0.000272   0.000445   0.000466  NA       0.000348 
356    71   65536  0.3      2  0.00000699  0.0000324  0.0000378  0.000364  NA       0.000390 
